date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,pct_change,zscore,is_spike,spike_severity
2023-01-15,Northern Region,Karonga,Uliwa,2118,-10.45,34.21,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,1650.0,1.64,1,2023,83.33333333333333,3.0843276754138946,True,Critical
2024-09-15,Northern Region,Karonga,Uliwa,2118,-10.45,34.21,pulses and nuts,Beans,50,KG,aggregate,Retail,MWK,3468.75,2.01,9,2024,73.4375,2.922278463633185,True,Critical
2025-09-15,Northern Region,Karonga,Uliwa,2118,-10.45,34.21,pulses and nuts,Cowpeas,218,KG,aggregate,Retail,MWK,4500.0,2.6,9,2025,155.1541130843029,2.9337677016105967,True,Critical
2022-09-15,Northern Region,Karonga,Uliwa,2118,-10.45,34.21,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,332.5,0.33,9,2022,84.72222222222223,2.9512668627729792,True,Critical
2025-09-15,Northern Region,Karonga,Uliwa,2118,-10.45,34.21,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1226.09,0.71,9,2025,268.7488721804511,3.1240460111417283,True,Critical
2022-09-15,Central Region,Kasungu,Kasungu Boma,780,-13.03,33.48,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,303.5,0.3,9,2022,89.68750000000001,2.976163288680722,True,Critical
2025-04-15,Central Region,Kasungu,Kasungu Boma,780,-13.03,33.48,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1264.58,0.74,4,2025,316.665568369028,3.135276462098993,True,Critical
2025-02-15,Central Region,Kasungu,Kasungu Boma,780,-13.03,33.48,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,1352.63,0.79,2,2025,103.40300751879701,2.808409480619907,True,Critical
2025-04-15,Central Region,Kasungu,Nkhamenya,807,-12.57,33.52,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1330.0,0.77,4,2025,383.6363636363636,3.1340727789367304,True,Critical
2025-02-15,Central Region,Kasungu,Nkhamenya,807,-12.57,33.52,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,1381.25,0.8,2,2025,104.62962962962963,2.866284162130566,True,Critical
